G_NUMBER	NAME_ALT2	GENOME_NAME	NAME_ORIGINAL	NAME_ALT1	N_NUMBER	PATIENT_ID	SEQ_MULTIPLE_LIBRARIES	PROVIDER	SEQ_FACILITY	PATH_ORIGINAL_FASTQS	LIBRARY_ID	PE_SE	DATE_SEQ	STATUS	FLAG_WARNING	WARNINGS	FASTQ_PATH	PATH_MAPPING_OUTPUT_V1	STATUS_MAPPING_V1	PATH_MAPPING_OUTPUT_V2	STATUS_MAPPING_V2	ANNEX_FILES	BIOPROJECT	SAMPLE_ACCESSION	RUN_ACCESSION	LINK_SRA	DATE_ISOLATION	COUNTRY_ISOLATION	COUNTRY_PATIENT_BIRTH	LINEAGE	SUBLINEAGE_GAGNEUX	SUBLINEAGE_COLL	GENOME_BASED_SPOLIGO	CONTACT_PERSON	COMMENTS	isolation_date	FQ.IN	NUMBER.READS	READ.TYPE	LNG	COVERAGE.MEAN	COVERAGE.SD	PERCENTAGE.NOT.COVERED	PERCENTAGE.LESS.5	NUMBER.ALL.VARIANTS	HOMO.SNPS	HET.SNPs	HOMO_HET.RATIO	NUMBER.INDELS	MAPPING.PERCENTAGE	DROPPED.TRIMMOMATIC	MEAN.READ.LENGHT	INSERT.SIZE.MEAN	PERCENTAGE.MTB	PERCENTAGE.NTMS	PERCENTAGE.UNCLASSIFIED	MERGING.OVERLAPPING.READS	LINAGE	LINEAGE_PROC	SUBLINEAGE	DR_STRINGENT_OUT	DR_EXTENDED_OUT	CM_OUT	KDV_OUT	PDM_OUT
G701349	ECF-12-J196	G701349	SAMEA14459999	ERX9333457	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786181_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786181_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459999	ERR9786181	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786181/ERR9786181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786181/ERR9786181_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	05-06-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786181_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786181_2.fastq.gz	1587495	PE	NA	89	25	0.007	0.015	3325	817	89	0.11	1235	99.01%	0.06%	258	597	99.88	0.04	0.06	46.49%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	RIF-Mono|RIF-Mono	0	0	28
G701350	ECF-12-J198	G701350	SAMEA14460000	ERX9333458	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786182_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786182_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460000	ERR9786182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786182/ERR9786182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786182/ERR9786182_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	12-06-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786182_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786182_2.fastq.gz	1512799	PE	NA	98	26	0.011	0.014	1236	862	40	0.05	159	99.47%	0.07%	253	677	99.86	0.06	0.04	41.80%	L4 (3/3)	L4	L4.6.2.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
G701352	ECF-12-J211	G701352	SAMEA14460002	ERX9333460	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786184_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786184_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460002	ERR9786184	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786184/ERR9786184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786184/ERR9786184_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	10-07-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786184_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786184_2.fastq.gz	434101	PE	NA	36	13	0.011	0.019	1215	834	97	0.12	128	98.73%	0.02%	253	734	99.1	0.15	0.72	11.65%	L4 (3/3)	L4	L4.7	Susceptible|Susceptible	RIF-Mono|RIF-Mono	0	0	4
G701353	ECF-12-J218	G701353	SAMEA14460003	ERX9333461	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786185_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786185_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460003	ERR9786185	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786185/ERR9786185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786185/ERR9786185_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	24-07-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786185_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786185_2.fastq.gz	603859	PE	NA	37	12	0.007	0.018	1066	825	71	0.09	107	98.92%	0.40%	253	756	99.71	0.07	0.09	26.20%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701355	ECF-12-J225	G701355	SAMEA14460005	ERX9333463	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786187_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786187_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460005	ERR9786187	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786187/ERR9786187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786187/ERR9786187_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	06-08-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786187_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786187_2.fastq.gz	1252069	PE	NA	78	26	0.011	0.015	1499	878	48	0.05	136	99.47%	0.12%	253	626	99.85	0.08	0.04	46.95%	L4 (3/3)	L4	L4.3.4.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701356	ECF-12-J232	G701356	SAMEA14460006	ERX9333464	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786188_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786188_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460006	ERR9786188	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/008/ERR9786188/ERR9786188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/008/ERR9786188/ERR9786188_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	03-09-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786188_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786188_2.fastq.gz	1546269	PE	NA	84	25	0.013	0.019	2371	880	71	0.08	903	98.80%	0.25%	253	664	99.26	0.06	0.13	45.55%	L4 (3/3)	L4	L4.3.4.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	10
G701357	ECF-12-J237	G701357	SAMEA14460007	ERX9333465	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786189_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786189_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460007	ERR9786189	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786189/ERR9786189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786189/ERR9786189_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	19-09-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786189_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786189_2.fastq.gz	1019516	PE	NA	68	18	0.006	0.01	1261	813	64	0.08	118	99.20%	0.20%	253	657	99.87	0.05	0.05	39.02%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701358	ECF-12-J248	G701358	SAMEA14460008	ERX9333466	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786190_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786190_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460008	ERR9786190	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786190/ERR9786190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786190/ERR9786190_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	12-10-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786190_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786190_2.fastq.gz	341346	PE	NA	28	10	0.009	0.02	1419	810	265	0.33	209	99.34%	0.04%	253	711	99.7	0.04	0.23	13.07%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
G701359	ECF-12-J250	G701359	SAMEA14460009	ERX9333467	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786191_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786191_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460009	ERR9786191	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786191/ERR9786191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786191/ERR9786191_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	17-10-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786191_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786191_2.fastq.gz	1886686	PE	NA	101	23	0.003	0.006	1325	870	71	0.08	172	99.36%	0.07%	253	577	99.79	0.05	0.07	62.97%	L4 (3/3)	L4	L4.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701360	ECF-12-J251	G701360	SAMEA14460010	ERX9333468	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786192_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786192_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460010	ERR9786192	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786192/ERR9786192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786192/ERR9786192_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	23-10-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786192_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786192_2.fastq.gz	485471	PE	NA	28	10	0.009	0.021	1055	840	90	0.11	71	98.59%	0.28%	253	805	99.28	0.08	0.36	45.45%	L4 (3/3)	L4	L4.3.3	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701361	ECF-12-J252	G701361	SAMEA14460011	ERX9333469	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786193_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786193_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460011	ERR9786193	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/003/ERR9786193/ERR9786193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/003/ERR9786193/ERR9786193_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	25-10-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786193_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786193_2.fastq.gz	968870	PE	NA	66	21	0.006	0.011	1142	858	64	0.07	118	99.34%	0.22%	253	794	99.85	0.05	0.07	30.59%	L4 (3/3)	L4	L4.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701362	ECF-12-J255	G701362	SAMEA14460012	ERX9333470	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786194_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786194_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460012	ERR9786194	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786194/ERR9786194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786194/ERR9786194_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	31-10-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786194_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786194_2.fastq.gz	892262	PE	NA	60	18	0.016	0.021	1351	872	47	0.05	133	99.43%	0.20%	253	654	99.87	0.06	0.05	38.65%	L4 (3/3)	L4	L4.3.4.2	INH-Mono|INH-Mono	INH-Mono|INH-Mono	0	0	1
G701363	ECF-12-J256	G701363	SAMEA14460013	ERX9333471	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786195_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786195_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460013	ERR9786195	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786195/ERR9786195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/005/ERR9786195/ERR9786195_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	31-10-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786195_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786195_2.fastq.gz	462812	PE	NA	32	10	0.013	0.019	1260	878	70	0.08	106	99.54%	0.13%	253	668	99.85	0.06	0.04	43.20%	L4 (3/3)	L4	L4.3.4.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701364	ECF-12-J259	G701364	SAMEA14460014	ERX9333472	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786196_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786196_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460014	ERR9786196	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786196/ERR9786196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786196/ERR9786196_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	05-11-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786196_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786196_2.fastq.gz	308399	PE	NA	26	9	0.018	0.03	1281	856	185	0.22	143	99.44%	0.02%	253	721	99.81	0.03	0.13	14.83%	L4 (3/3)	L4	L4.3.4.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701365	ECF-12-J265	G701365	SAMEA14460015	ERX9333473	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786197_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786197_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460015	ERR9786197	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786197/ERR9786197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786197/ERR9786197_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	20-11-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786197_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786197_2.fastq.gz	785260	PE	NA	54	16	0.007	0.015	1031	855	49	0.06	89	99.36%	0.27%	253	796	99.79	0.08	0.09	29.44%	L4 (3/3)	L4	L4.3.3	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701366	ECF-12-J267	G701366	SAMEA14460016	ERX9333474	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786198_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786198_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460016	ERR9786198	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/008/ERR9786198/ERR9786198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/008/ERR9786198/ERR9786198_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	26-11-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786198_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786198_2.fastq.gz	514519	PE	NA	43	15	0.016	0.023	1377	876	92	0.11	168	99.56%	0.02%	253	723	99.85	0.03	0.11	12.09%	L4 (3/3)	L4	L4.3.4.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	2
G701367	ECF-12-J269	G701367	SAMEA14460017	ERX9333475	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786199_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786199_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460017	ERR9786199	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786199/ERR9786199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786199/ERR9786199_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	29-11-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786199_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786199_2.fastq.gz	1030462	PE	NA	53	16	0.005	0.009	1119	859	46	0.05	89	99.07%	0.22%	253	789	99.7	0.09	0.13	56.38%	L4 (3/3)	L4	L4.3.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701368	ECF-12-J271	G701368	SAMEA14460018	ERX9333476	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786200_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786200_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460018	ERR9786200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786200/ERR9786200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786200/ERR9786200_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	07-12-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786200_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786200_2.fastq.gz	1335000	PE	NA	86	27	0.005	0.015	1830	875	53	0.06	191	99.55%	0.07%	253	640	99.87	0.07	0.03	43.07%	L4 (3/3)	L4	L4.3.4.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701369	ECF-12-J274	G701369	SAMEA14460019	ERX9333477	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786201_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786201_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460019	ERR9786201	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786201/ERR9786201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786201/ERR9786201_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	11-12-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786201_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786201_2.fastq.gz	759527	PE	NA	51	16	0.013	0.018	1374	856	81	0.09	120	99.33%	0.16%	253	648	99.82	0.08	0.06	44.78%	L4 (3/3)	L4	L4.6.2.2	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
G701370	ECF-12-N101	G701370	SAMEA14460020	ERX9333478	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786202_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786202_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460020	ERR9786202	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786202/ERR9786202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786202/ERR9786202_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	17-01-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786202_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786202_2.fastq.gz	797549	PE	NA	58	17	0.006	0.012	1180	824	60	0.07	160	99.32%	0.14%	253	719	99.83	0.05	0.05	28.32%	L4 (3/3)	L4	L4.1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701371	ECF-12-N102	G701371	SAMEA14460021	ERX9333479	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786203_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786203_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14460021	ERR9786203	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/003/ERR9786203/ERR9786203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/003/ERR9786203/ERR9786203_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	23-01-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786203_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786203_2.fastq.gz	535778	PE	NA	38	10	0.004	0.011	1055	852	69	0.08	66	99.42%	0.18%	253	733	99.88	0.05	0.04	35.61%	L4 (3/3)	L4	L4.8	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
